ec50_am,ec50_lm,efficacy
0.01,0.01,1.0
0.01,0.03,1.0
0.01,0.05,1.0
0.01,0.06999999999999999,1.0
0.01,0.09,1.0
0.01,0.11,1.0
0.01,0.13,1.0
0.01,0.15000000000000002,1.0
0.01,0.17,1.0
0.01,0.19,1.0
0.01,0.21000000000000002,0.9998
0.01,0.23,0.9999
0.01,0.25,1.0
0.01,0.27,0.9999
0.01,0.29000000000000004,1.0
0.01,0.31,1.0
0.01,0.33,1.0
0.01,0.35000000000000003,1.0
0.01,0.37,1.0
0.01,0.39,1.0
0.01,0.41000000000000003,0.9999
0.01,0.43,1.0
0.01,0.45,1.0
0.01,0.47000000000000003,0.9999
0.01,0.49,1.0
0.01,0.51,0.9999
0.01,0.53,0.9999
0.01,0.55,1.0
0.01,0.5700000000000001,0.9999
0.01,0.59,1.0
0.01,0.61,0.9998
0.01,0.63,0.9998
0.01,0.65,0.9999
0.01,0.67,0.9996
0.01,0.6900000000000001,0.9999
0.01,0.7100000000000001,0.9996
0.01,0.73,0.9999
0.01,0.75,0.9999
0.01,0.77,0.9995
0.01,0.79,0.9998
0.01,0.81,0.9999
0.01,0.8300000000000001,0.9992
0.01,0.85,0.9996
0.01,0.87,0.9997
0.01,0.89,0.9998
0.01,0.91,0.9995
0.01,0.93,0.9997
0.01,0.9500000000000001,0.9992
0.01,0.97,0.9997
0.01,0.99,0.9996
0.01,1.01,0.9996
0.01,1.03,0.9992
0.01,1.05,0.9995
0.01,1.07,0.9994
0.01,1.09,0.9988
0.01,1.11,0.9992
0.01,1.1300000000000001,0.9996
0.01,1.1500000000000001,0.999
0.01,1.17,0.9995
0.01,1.19,0.9992
0.01,1.21,0.999
0.01,1.23,0.9996
0.01,1.25,0.9997
0.01,1.27,0.9993
0.01,1.29,0.9991
0.01,1.31,0.9997
0.01,1.33,0.9996
0.01,1.35,0.9989
0.01,1.37,0.9994
0.01,1.3900000000000001,0.9992
0.01,1.4100000000000001,0.9988
0.01,1.43,0.9986
0.01,1.45,0.999
0.01,1.47,0.9993
0.01,1.49,0.9989
0.01,1.51,0.9988
0.01,1.53,0.9993
0.01,1.55,0.9989
0.01,1.57,0.9988
0.01,1.59,0.9993
0.01,1.61,0.999
0.01,1.6300000000000001,0.9989
0.01,1.6500000000000001,0.9989
0.01,1.6700000000000002,0.9987
