ec50_am,efficacy
0.01,0.9988
0.03,0.9963
0.05,0.9939
0.06999999999999999,0.9906
0.09,0.9894
0.11,0.9864
0.13,0.9855
0.15000000000000002,0.9839
0.17,0.9831
0.19,0.9804
0.21000000000000002,0.9806
0.23,0.9767
0.25,0.9731
0.27,0.9729
0.29000000000000004,0.9667
0.31,0.963
0.33,0.9622
0.35000000000000003,0.9555
0.37,0.9529
0.39,0.9438
0.41000000000000003,0.9391
0.43,0.9267
0.45,0.9235
0.47000000000000003,0.9117
0.49,0.9095
0.51,0.8917
0.53,0.8788
0.55,0.8692
0.5700000000000001,0.8634
0.59,0.8455
0.61,0.8358
0.63,0.8166
0.65,0.8066
0.67,0.7819
0.6900000000000001,0.7654
0.7100000000000001,0.7547
0.73,0.7347
0.75,0.711
0.77,0.7027
0.79,0.6727
0.81,0.6595
0.8300000000000001,0.6389
0.85,0.6176
0.87,0.5985
0.89,0.5847
0.91,0.5545
0.93,0.536
0.9500000000000001,0.5284
0.97,0.4983
0.99,0.4728
1.01,0.4536
1.03,0.4211
1.05,0.4019
1.07,0.3933
1.09,0.367
1.11,0.3508
1.1300000000000001,0.3318
1.1500000000000001,0.3107
1.17,0.2968
1.19,0.2693
1.21,0.2515
1.23,0.2459
1.25,0.2219
1.27,0.2125
1.29,0.2008
1.31,0.1835
1.33,0.179
1.35,0.1596
1.37,0.1422
1.3900000000000001,0.1245
1.4100000000000001,0.1177
1.43,0.1076
1.45,0.1028
1.47,0.0939
1.49,0.0848
1.51,0.0808
1.53,0.0678
1.55,0.0601
1.57,0.0593
1.59,0.0475
1.61,0.0459
1.6300000000000001,0.0433
1.6500000000000001,0.035
1.6700000000000002,0.0329
1.69,0.0299
1.71,0.025
1.73,0.0222
1.75,0.0187
1.77,0.0179
1.79,0.0174
1.81,0.0133
1.83,0.0144
1.85,0.0102
1.87,0.0103
1.8900000000000001,0.0084
1.9100000000000001,0.0058
1.93,0.0076
1.95,0.0057
1.97,0.0048
1.99,0.0047
