ec50_lm,efficacy
0.01,0.9953
0.03,0.9951
0.05,0.9936
0.06999999999999999,0.994
0.09,0.9923
0.11,0.9936
0.13,0.9935
0.15000000000000002,0.9921
0.17,0.9911
0.19,0.9902
0.21000000000000002,0.9878
0.23,0.9862
0.25,0.9865
0.27,0.9821
0.29000000000000004,0.9798
0.31,0.9769
0.33,0.9759
0.35000000000000003,0.9717
0.37,0.9676
0.39,0.9615
0.41000000000000003,0.9554
0.43,0.95
0.45,0.9457
0.47000000000000003,0.9394
0.49,0.9277
0.51,0.9214
0.53,0.9173
0.55,0.9068
0.5700000000000001,0.9011
0.59,0.8929
0.61,0.8806
0.63,0.86
0.65,0.8528
0.67,0.8356
0.6900000000000001,0.8259
0.7100000000000001,0.8113
0.73,0.7971
0.75,0.7812
0.77,0.7636
0.79,0.7479
0.81,0.7371
0.8300000000000001,0.7139
0.85,0.6905
0.87,0.6735
0.89,0.6495
0.91,0.6384
0.93,0.6169
0.9500000000000001,0.5971
0.97,0.5776
0.99,0.5625
1.01,0.5315
1.03,0.5155
1.05,0.4888
1.07,0.4732
1.09,0.4512
1.11,0.4329
1.1300000000000001,0.4106
1.1500000000000001,0.3881
1.17,0.3691
1.19,0.3519
1.21,0.3292
1.23,0.3095
1.25,0.2926
1.27,0.2749
1.29,0.2484
1.31,0.2393
1.33,0.2242
1.35,0.2066
1.37,0.1887
1.3900000000000001,0.1825
1.4100000000000001,0.1666
1.43,0.1514
1.45,0.1375
1.47,0.1303
1.49,0.1214
1.51,0.1024
1.53,0.0958
1.55,0.0904
1.57,0.0801
1.59,0.0757
1.61,0.0653
1.6300000000000001,0.0586
1.6500000000000001,0.0526
1.6700000000000002,0.0503
1.69,0.0468
1.71,0.043
1.73,0.0389
1.75,0.0312
1.77,0.0261
1.79,0.0238
1.81,0.0191
1.83,0.0181
1.85,0.0163
1.87,0.0126
1.8900000000000001,0.0137
1.9100000000000001,0.0105
1.93,0.0093
1.95,0.0077
1.97,0.0077
1.99,0.0054
